Name,Price
President's Choice Creamy Naturally Flavoured Stirred Yogurt Cups,$6.99
Yoplait Source Blueberry/Strawberry/Blackberry/Nectarine  0% MF Yogurt,$7.49
Liberte Vanilla 2.9% MF Yogurt,$3.49
Yoplait Yop Drinkable Yogurt 1 % M.F.,$12.99
President's Choice Plain Greek Yogurt 5%,$5.99
Astro Original Flavoured Yogourt Raspberry White Chocolate 6% M.F.,$3.99
President's Choice Vanilla Skyr Icelandic Style 0% M.F. Yogurt,$6.29
IOGO Creamy Vanilla 1.5% M.F. Yogurt Lactose Free,$10.99
IOGO 1% Nano Cherry Drinkable Yogurt,$4.99
Liberte Grk Ex Crm Vanilla 5%,$7.49
Liberte Greek Vanilla 0% MF Yogurt,$5.49
Yoplait Source Raspberry 0% MF,$5.49
"Activia Yogurt With Probiotics, Plain 3.2% M/F.",$3.99
"Activia Probiotic Smoothie, Mango, Peach & Carrot, Drinkable Yogurt",$2.29
"Silk Almond Beverage, Unsweetened Original, Dairy-Free",$5.49
"Earths Own Oat Beverage, Original",$4.99
"Earths Own Almond Beverage, Unsweetened Original",$4.49
"Silk Organic Soy Beverage, Unsweetened Original, Dairy-Free",$5.49
"Silk Almond Beverage, Unsweetened, Vanilla Flavour, Dairy-Free",$5.49
"Silk Almond Beverage, Original, Plant Based Dairy-Free Milk",$5.49
Earths Own Oat Barista,$6.99
"Silk Almond Beverage, Dark Chocolate Flavour",$5.49
"Silk Oat Beverage, Unsweetened, Plant Based, Dairy Free",$5.49
"Silk Coconut Beverage, Unsweetened Original, Dairy-Free",$5.49
"Earths Own Oat Beverage, Vanilla",$4.99
"Silk Dairy Free Plant Based Oat Beverage, Original, Plain",$5.49
"Earths Own Almond Beverage, Unsweetened Vanilla",$4.49
"Silk Organic Soy Beverage, Original, Dairy-Free",$5.49
Earths Own Oat Zero Sugar Beverage,$4.99
"Silk Creamy Cashew Beverage, Unsweetened Original, Dairy-Free",$5.49
"Silk Almond Beverage, Vanilla Flavour, Dairy-Free",$5.49
"Silk Almond Beverage, Unsweetened, Dairy-Free, Shelf Stable",$3.29
"Earths Own Almond Beverage, Original",$4.49
"So Fresh Oat Beverage, Original",$2.99
"Earths Own Almond Beverage, Vanilla",$4.49
"Silk Oat Beverage, Vanilla, Unsweetened, Dairy-Free",$5.49
"Blue Diamond Almond Breeze Unsweetened Almond Milk, Original",$4.49
"Earths Own Oat Beverage, Chocolate",$4.99
"Silk Creamy Cashew Beverage, Unsweetened, Vanilla Flavour",$5.49
"Silk Almond Coconut Blend Beverage, Unsweetened, Dairy-Free",$5.49
So Nice Organic Almond Beverage Unsweetened Original,$4.49
"Silk Nextmilk, Plant Based Dairy Free Milk Alternative",$5.99
"Silk Coconut Beverage, Original, Plant Based Dairy-Free Milk",$5.49
"Earths Own Almond Beverage, Chocolate",$4.49
"Silk Almond Beverage, Unsweetened, Vanilla Flavour, Dairy-Free, Shelf Stable",$3.29
"Silk Protein Almond & Cashew Beverage, Unsweetened Original L",$5.99
"Silk Organic Soy Beverage, Vanilla Flavour, Dairy-Free",$5.49
Natura Unsweetened Enrich,$3.49
"Blue Diamond Almond Breeze Almond Milk, Unsweetened Vanilla",$4.49
"Silk Soy Beverage, Chocolate Flavour, Dairy-Free",$5.49
So Nice Soy Barista,$3.49
"Silk Oat Beverage, Plant Based, Dairy Free, Vanilla Flavour",$5.49
"Blue Diamond Almond Breeze Natural Almond, Unsweetened",$3.99
Natura Natur-A Soy Chocolate Beverage - Mini,$3.79
"Silk Protein Almond & Cashew Beverage, Vanilla, Unsweetened, Dairy-Free",$5.99
"Silk Organic Soy Beverage, Unsweetened Original, Dairy-Free, Shelf Stable",$3.49
"Blue Diamond Almond Breeze, Unsweetened Vanilla",$3.99
Natura Natur-A  Rice Original,$2.99
"So Fresh Oat Beverage, Vanilla",$2.99
"Silk Almond Beverage, Unsweetened Original, Dairy-Free",$12.99
Natura Natur-A Soy Vanilla Beverage - Mini,$3.79
"Natura Organic Soy Beverage, Enriched Vanilla",$3.49
Natura Natur-A Soya Chocolate,$3.49
"Silk Almond Beverage, Original, Dairy-Free, Shelf Stable",$3.49
Natura Natur-A Enriched Almond Unsweetened,$2.69
Califia Farms Beverage Peppermnt Mocha,$8.49
Silk Seasonal Oat & Coconut Beverage Festive Nog Limited Batch,$3.99
Earths Own Oat Zero Sugar Beverage Vanilla,$2.99
"Silk Almond Milk, Dark Chocolate Flavour, Dairy-Free, Shelf Stable",$3.49
"Silk Organic Soy Beverage, Original, Dairy-Free, Shelf Stable",$3.49
"Earths Own Almond Beverage, Chocolate",$2.99
Elmhurst Oat Milk Barista Edition,$9.49
"Earths Own Oat Beverage, Chocolate",$4.49
Oat Canada Zero Sugar Oat Drink,$5.49
Sproud Plant Based Barista Beverage,$4.99
"Earths Own Oat Beverage, Original",$4.49
Sproud Plant Based Unsweetened Beverage,$4.99
"Earths Own Oat Beverage, Naked Vanilla",$7.99
Earths Own Oat Zero Sugar Beverage Original,$2.99
"Silk Organic Coconut Beverage Original, Dairy-Free, Shelf Stable",$3.49
"Blue Diamond Almond Breeze, Vanilla",$3.99
Elmhurst Oat Beverage Unsweetened,$9.49
"Blue Diamond Almond Breeze, Unsweetened Almond Coconut",$3.99
"Earths Own Almond Beverage, Original",$2.99
YoFiit Chickpea Beverage Vanilla,$5.99
Silk Nextmilk Fortified Oat And Coconut Beverage Whole,$5.99
Natura Natur-A Enriched Almond Original,$2.69
Califia Farms Califia Extra Creamy Oat Beverage,$6.49
"So Nice Organic Almond Beverage, Original",$4.49
Califia Farms Califia Unsweetened Almond Beverage,$6.49
Califia Farms Califia Unsweetened Almond Vanilla Beverage,$6.49
"Ripple Dairy Free Beverage, Chocolate",$6.49
"Silk Almond Beverage, Vanilla Flavour, Dairy-Free, Shelf Stable",$3.49
"Silk Almond Beverage, Dark Chocolate Flavour, Dairy-Free",$8.99
Blue Diamond Almond Breeze Original,$4.49
"Earths Own Almond Beverage, Vanilla",$2.99
Elmhurst Almond Beverage Unsweetened,$9.49
"So Fresh Almond Beverage, Unsweetened Vanilla",$2.99
Natur Organic Gluten-Free Oat Beverage Barista,$2.99
"Natura Organic Soy Beverage, Enriched Original",$3.49
"Blue Diamond Almond Breeze, Unsweetened Vanilla",$5.79
"Earths Own Oat Beverage, Naked Original",$7.99
Califia Farms Almond Coffee Beverage,$8.49
"Ripple Dairy Free Beverage, Unsweetened",$6.49
"Blue Diamond Almond Breeze, Unsweetened Chocolate",$3.99
"Blue Diamond Almond Breeze, Unsweetened Original",$5.79
Elmhurst Oat Creamer Unsweetened,$9.49
"So Nice Organic Almond Beverage, Unsweetened Vanilla",$4.49
"Ripple Dairy Free Beverage, Vanilla",$6.49
Elmhurst Cashew Beverage Unsweetened,$9.49
Natura Natur-A Rice Vanilla,$2.99
"Blue Diamond Almond Breeze, Original",$3.99
"Earths Own Oat Beverage, Chocolate",$2.99
"Earths Own Almond Beverage, Unsweetened Original",$2.99
"Silk Almond Beverage, Vanilla Flavour, Dairy-Free",$8.99
Elmhurst Oat Creamer French Vanilla,$9.49
YoFiit Miylk10 Chickpea & Flaxseed Beverage Unsweetened Original,$5.99
"Blue Diamond Almond Breeze, Chocolate",$3.99
Kraft Smooth Peanut Butter,$7.99
Nutella Hazelnut Spread with Cocoa for Breakfast,$8.49
Kraft Smooth Light Peanut Butter,$7.99
Kraft Only Peanuts All Natural Smooth Peanut Butter,$7.99
Kraft Crunchy Peanut Butter,$7.99
President's Choice 100% Pure Maple Syrup (Amber),$12.99
No Name Pure 100% Canadian Liquid Honey,$12.99
Smuckers Pure Strawberry Jam,$7.49
No Name Smooth Peanut Butter,$5.99
Pearl Milling Company Original Syrup,$5.49
100% Pure Maple Syrup,$17.99
No Name Pure 100% Canadian Liquid Honey,$9.49
Kraft Hazelnut Spread With Cocoa,$7.99
Kraft Only Peanuts All Natural Crunchy Peanut Butter,$7.99
No Name 100% Canadian Pure Liquid Honey,$7.49
Nutella Hazelnut Chocolate Spread,$5.99
Smuckers Pure Raspberry Jam,$8.99
Jif Creamy Peanut Butter,$8.99
Kraft Only Peanuts All Natural Peanut Butter with Sea Salt,$7.99
President's Choice Pure Strawberry Jam,$6.99
PC Blue Menu Blue Menu Just Peanuts Smooth Peanut Butter,$5.49
No Name Crunchy Peanut Butter,$5.99
President's Choice 100% Pure Maple Syrup,$5.99
Kraft Cheez Whiz Cheese Spread,$10.99
Kraft Extra Creamy Peanut Butter,$7.99
Kraft Smooth Peanut Butter,$7.49
Bonne Maman Raspberry Jam,$7.49
No Name Smooth Light Peanut Butter,$5.99
Smuckers Pure Seedless Strawberry Jam,$4.99
Kraft Spread Hazelnut with Cocoa 45% Less Sugar,$7.99
Bonne Maman Strawberry Jam,$7.49
No Name Strawberry Jam With Pectin,$4.99
Nutella Hazelnut Spread with Cocoa for Breakfast,$11.99
"No Name Smooth Peanut Butter, Club Size",$10.99
President's Choice Pure Raspberry Jam,$6.99
President's Choice Original Table Syrup,$4.49
President's Choice 100% Pure Maple Syrup (Dark),$11.99
Steeves Maples Sugar Free Syrup,$3.29
Smuckers No Sugar Added Strawberry Spread,$5.49
Smuckers Pure Seedless Raspberry Jam,$4.99
President's Choice Pure Concord Grape Jelly,$6.99
PC Blue Menu Twice The Fruit Strawberry Spread,$6.99
Kivotos Honey from Flowers and Conifer Trees Gold Liquid,$9.99
Maple Joe Maple Syrup,$10.99
Yawdi's Pineapple Pepper Jelly,$8.49
Jakeman's Autumn Leaf,$7.49
Jakeman's Litho Tin,$18.99
Crown Corn Syrup,$5.49
Magnolia Cheezee Spread Cheddar,$5.79
Lady Choice Sandwich Spread,$4.49
PC Organics Organic Fruit Spread Strawberry,$7.49
Smuckers Pure Cherry Jam,$4.99
Mediterranean Tahini with Cocoa,$6.49
Adams 100% Natural Creamy Peanut Butter,$6.99
BeeMaid 1 Canadian Pure Creamed Honey,$18.49
Adams 100% Natural Dark Roast Crunchy Peanut Butter,$6.99
Jif Creamy Peanut Butter,$5.99
PC Blue Menu Twice The Fruit 3-Berry Spread,$6.99
"McCormicks Pure Natural Honey, Liquid White, Squeeze",$12.99
Dabur Honey,$11.99
BeeMaid Premium Liquid Honey,$11.99
PC Blue Menu Blueberry,$6.99
President's Choice Pure Seedless Strawberry Jam,$4.99
Bonne Maman Blueberry Spread,$7.49
President's Choice Dulce de leche,$4.29
President's Choice Chocolate Hazelnut Spread,$6.49
President's Choice Manuka Honey,$8.99
Bonne Maman Hazelnut And Cocoa Spread,$8.49
PC Black Label Wildflower Honey with Turkish Walnuts,$5.99
Lindt Hazelnut Milk Chocolate Spread,$6.99
Jakeman's Maple Spread,$15.49
Lepoque Pure Maple Syrup,$10.99
"Crown Honey, Natural & Pure, 1 KG",$17.99
Braswell Wildflower Honey,$13.99
Braswell Ginger Flavoured Honey,$13.99
"Natur Le Fruit Organic Spread, Strawberry",$6.49
Al Shifa Acacia Honey,$18.99
"St Dalfour Deluxe Spread, Four Fruits",$6.99
T&T Raw Honey,$11.49
PC Black Label Pure Maple Syrup,$6.49
Jif Crunchy Peanut Butter,$5.99
Adams 100% Natural Crunchy Peanut Butter,$11.49
Adams 100% Natural Dark Roast Creamy Peanut Butter,$6.99
PC Black Label Bourbon Barrel-Aged Maple Syrup,$11.49
Smuckers Pure Strawberry Jelly,$4.99
President's Choice Chocolate Hazelnut Spread,$3.99
Valsoia Dairy Free Cocoa & Hazelnut Spread,$7.49
Beaver Tails Smooth Spread Salty Caramel,$5.49
"PC Black Label Fruit Spread, British Columbia Raspberry",$7.49
Aurora Wildflower Honey Liquid,$14.49
"Billy Bee Pure Natural Honey, Liquid White, Squeeze",$10.49
Smuckers No Sugar Added Blueberry Spread,$5.49
Nutella Hazelnut Spread with Cocoa for Breakfast,$15.99
Bonne Maman Strawberry Spread,$7.49
Bonne Maman Cherry Jam,$7.49
"St Dalfour Deluxe Spread, Strawberry",$6.99
Bonne Maman Apricot Jam,$7.49
"Billy Bee Pure Natural Honey, Creamed White, Tub",$10.49
President's Choice Pure Seville Orange Marmalade,$3.69
"St Dalfour Deluxe Spread, Thick Apricot Extra",$6.99
Bonne Maman Mango & Peach Spread,$7.49
"Wilkins Jam, Pure Raspberry",$8.49
"Prigat Grape Juice, Date Spread",$2.79
"Natur Le Fruit Organic Spread, Blueberry",$6.49
Tamam Jam Preserve Apricot,$4.99
Voisin's Maple Syrup,$10.49
Sanotti O Sesame O'Sesame Chocolate Spread,$8.99
Braswell Orange Blossom Honey,$13.99
"St Dalfour Deluxe Spread, Blackcurrant",$6.99
"Wilkins Jam, Pure Strawberry",$8.49
Walden Farms Peanut Spread,$4.99
"PC Blue Menu Twice The Fruit Raspberry Spread, Club Size",$13.99
No Name Corn Syrup,$7.49
PC Blue Menu Twice The Fruit Apricot Spread,$6.99
Adams 100% Natural Crunchy Peanut Butter,$6.99
President's Choice Crunchy Chocolate Hazelnut Spread,$3.99
BeeMaid Amber Honey Liquid,$11.99
"Robertsons Orange Marmalade, Thick Cut",$4.79
President's Choice Pure Orange Marmalade,$6.99
Smuckers Pure Blueberry Jam,$4.99
PC Organics Organic Fruit Spread Strawberry,$4.49
Bonne Maman Apricot Spread,$7.49
Jif Peanut Butter Creamy Squeeze,$4.49
Jif Light Creamy Peanut Butter,$8.99
Tamam Liquid Honey,$6.99
Gees Bees Honey Company Blueberry Blossom Honey,$15.99
"PC Black Label Fruit Spread, Quebec Wild Blueberry",$7.49
Peace River Honey Pineapple Jalapeno Honey,$10.99
Smuckers Pure Apple Jelly,$4.99
"President's Choice Over 50% Juice Jelly, Red Currant",$3.69
PC Black Label Lemon Curd,$5.49
"Natur Le Fruit Organic Spread, Raspberry",$6.49
Langnese Forest Honey,$11.99
Crofter's Organic Seedless Raspberry Spread,$6.99
Brasswell's Select Apple Butter,$10.99
"S&F Jam, Black Currant",$4.79
Lindt Hazelnut Dark Chocolate Spread,$6.99
Be Sweet Vegan Honey,$8.99
"Billy Bee Liquid White, Upside-down Squeeze",$8.99
Maple Joe Maple Syrup,$19.99
Jif Light Creamy Peanut Butter,$5.99
Crown Crown Corn Syrup,$5.49
"PC Blue Menu Twice The Fruit Strawberry Spread, Club Size",$10.99
"St Dalfour Deluxe Spread, Wild Blueberry",$6.99
Bonne Maman Raspberry Spread,$7.49
Bonne Maman Lemon Curd,$7.49
Adams 100% Natural Creamy Peanut Butter,$11.49
President's Choice Pure Apricot Jam,$6.99
Bonne Maman Jam Four Fruits,$7.49
Jif Dark Roast Creamy Peanut Butter,$5.99
"PC Black Label Fruit Spread, Ontario Montmorency Sour Cherry",$8.99
Smuckers Pure Raspberry Jam,$4.99
"Wilkins Marmalade, Pure Orange",$8.49
S&F Plumbutter Jam,$4.79
"Natur Le Fruit Organic Spread, 4 Fruits",$6.49
Crofter's Just Fruit Spreads Premium Spread Strawberry Banana Organic,$6.99
Sanotti O Sesame O'Sesame Chocolate Spread Keto Smooth,$8.99
Kasseler Cinnamon Flavoured Honey,$13.99
D Arbo Sour Cherry Spread,$6.99
Rooster Liquid Honey,$10.99
Billy Bee Pure Natural White Honey,$9.99
Smuckers Pure Orange Marmalade,$4.99
DeBoer's Natural Almond Butter Smooth,$5.99
Yawdi's Red Pepr Pepper Jelly,$8.49
S&F Acacia Honey,$11.99
Sanotti O Sesame O'Sesame Dark Chocolate Spread,$8.99
Smuckers Pure Apricot Jam,$4.99
"President's Choice Syrup, Butter Flavoured",$4.49
PC Black Label Maple Butter Spread,$4.99
PC Blue Menu Strawberry Fruit Spread,$6.99
Smuckers Pure Peach Jam,$4.99
La Nonna Caramel Spread Dulce De Leche,$7.49
PC Organics Organic Fruit Spread Apricot,$4.49
PC Blue Menu Raspberry Fruit And Concentrated Pear Juice Spread,$6.99
PC Blue Menu Blue Menu Just Peanuts Crunchy Peanut Butter,$5.49
Peace River Honey Creamed Honey,$11.49
Bonne Maman Hazelnut And Cocoa Spread,$16.49
Smuckers Pure Raspberry Jam,$15.99
Be Sweet Honey Spread,$4.99
Grenache Caramel Spread,$2.49
T&T Korean Honey Citron Tea,$6.99
Peace River Honey Hot Honey,$10.99
Smuckers Pure Orange Marmalade,$7.49
"No Name Peanut Butter, Smooth Light",$3.99
No Name Dark Roast Peanut Butter,$5.99
BeeMaid Raw Honey,$11.99
PC Blue Menu Twice The Fruit Raspberry Spread,$6.99
Tamam Jam Preserve Fig,$4.99
PC Blue Menu Just Almonds Crunchy Almond Butter,$8.49
Peace River Honey Liquid Honey,$11.49
No Name Raspberry Jam With Pectin,$5.99
"PC Black Label Fruit Spread, British Columbia Strawberry",$8.99
Al Shifa Natural Honey,$9.99
Jif Crunchy Peanut Butter,$8.99
Menz & Gasser Prima Frutta Apricot Fruit Spread,$3.99
"St Dalfour Deluxe Spread, Oranges with Peels",$6.99
"Wilkins Jelly, Pure Red Currant",$8.49
Chivers Marmalade Olde English,$4.29
Gees Bees Honey Company Wildflower Honey,$10.99
Jakeman's Pure Maple Syrup,$18.99
Braswell Wild Berry Honey,$13.99
President's Choice Light Table Syrup,$4.49
PC Black Label Key Lime Curd,$5.49
Planters Crunchy Peanut Butter,$7.99
Be Sweet Honey Spread,$7.99
No Name 100% Canadian Pure Creamed Honey,$9.49
Mr. Puff Hazelnut Spread,$9.99
Beaver Tails Crunchy Spread Hazelnut Chocolate,$5.49
Smuckers Pure Strawberry Jam,$4.99
PC Blue Menu Just Almonds Smooth Almond Butter,$8.49
PC Blue Menu Twice The Fruit Strawberry Rhubarb Spread,$6.99
Smuckers No Sugar Added Raspberry Spread,$6.99
Jif Dark Roast Creamy Peanut Butter Spread,$8.99
PC Organics Organic Fruit Spread Raspberry,$4.49
PC Black Label Honeycomb in Wildflower Honey,$8.99
Al Shifa Black Forest Honey,$18.99
No Name Garlic Powder,$3.99
Mr Goudas Table Salt Iodized,$1.49
No Name Chopped Garlic,$4.49
No Name Onion Powder,$3.99
No Name Chili Powder,$3.99
No Name Ground Black Pepper,$3.99
No Name Oregano Leaves,$3.99
No Name Ground Cumin,$3.99
No Name Ground Cinnamon,$3.99
No Name Black Peppercorns,$3.99
No Name Parsley Flakes,$3.99
PC Black Label Panko,$3.49
Windsor Iodized Table Salt,$2.49
No Name Extra Crispy Coating Mix,$2.99
No Name Sesame Seeds,$3.99
No Name Thyme Leaves,$3.99
No Name Crushed Red Pepper,$3.99
No Name Basil Leaves,$3.99
Kraft Shake'n Bake Crispy Chicken Coating Mix,$4.99
No Name Cinnamon Sticks,$3.99
Aurora Italian Style Bread Crumbs with Italian Romano Cheese,$4.49
No Name Italian-Style Seasoning,$3.99
No Name Kosher Salt,$6.49
"Windsor Sea Salt, Fine",$4.99
No Name Minced Ginger,$4.49
No Name Paprika,$3.99
No Name Rosemary Leaves,$3.99
No Name Chopped Garlic,$7.49
"Aurora Mediterranean Seas Salts, Fine",$1.99
No Name Southern Fried-Style Coating Mix,$2.99
No Name Original Coating Mix,$2.99
"Derlea Garlic, Minced",$4.99
Kraft Coating Mix Original Crispy,$4.99
No Name Ground Ginger,$3.99
PC Black Label Seasoned Panko Bread Crumbs,$3.49
No Name Garlic Powder Club Size,$8.49
President's Choice Vanilla Extract Pure,$11.49
No Name Garlic Salt,$3.99
No Name Crispy Rice Marshmallow Squares,$8.99
"Club House Signature, Blends Italiano",$8.99
No Name Bay Leaves,$3.99
"Suraj Cinnamon Sticks, Dalchini",$2.79
President's Choice Smoked Paprika,$6.49
4C Plain Bread Crumbs,$3.79
Club House Organic Garlic Powder Bag,$3.79
Kraft Coating Mix Crispy Southern Fried,$4.99
No Name Curry Powder,$3.99
President's Choice Memories Of Sicilia Fine Sea Salts,$5.99
Kraft Crispy Pork Coating Mix,$4.99
Dion Bay Leaves,$4.29
Dion Parsley,$3.29
"Derlea Ginger, Minced",$3.49
Club House Beer Batter Mix,$4.79
Dion Peppercorn 4 Mix,$5.99
"La Baleine Sea Salt, Coarse",$6.99
Kanel Seasoning La Vita È Bella Organic,$12.99
Dion Ground Coriander,$2.99
Dion Cajun Spices,$3.29
Dion Ground Fennel,$2.49
Silani Date Syrup,$7.49
Dion Thyme,$2.49
Aurora Coarse Sea Salt,$1.99
Outdoor Flavours Outdoor Flavours Seasoned Coating Mix Beer Batter,$9.99
Dion Spanish Smoked Sweet Paprika,$5.99
Dion Whole Cloves,$3.79
A Spice Affair Thai Seven Spices,$9.99
Club House Farmer'S Market Chicken & Vegetables Seasoning Mix,$2.49
Dion Ground Cloves,$3.79
Dion Crushed Mint,$2.99
Outdoor Flavours Outdoor Flavours Seasoned Coating Mix Crispy Cajun,$8.49
Dion Crushed Chillies,$3.99
Organic Minced Garlic,$4.99
Minced Ginger,$6.99
Dion Ground Nutmeg,$5.99
President's Choice Ground Black Pepper,$6.49
Club House Poultry Seasoning,$5.99
"No Name Ground Cinnamon, Club Size",$9.99
Kalas Classic Table Salt Iodized Sea Salt,$4.79
No Name Parsley Flakes,$4.99
"Club House La Grille, Salt Free Chicken Seasoning",$8.99
"Fish Crisp Coating Mix, Roasted Garlic & Butter",$5.49
Club House Moroccan Seasoning Mix,$2.49
Windsor Coarse Sea Salt,$4.99
Weber Garlic Parmesan Seasoning,$6.99
President's Choice Celery Seed,$6.49
Club House Ground Cloves,$6.99
McCormicks Ground Cloves,$9.99
McCormicks Ground Turmeric,$6.99
President's Choice Herbes de Provence,$6.49
President's Choice Ground Thyme,$6.49
Club House Cayenne Pepper,$8.99
No Name Nutmeg Ground,$3.99
Windsor Black Peppercorns Grinder,$4.49
MDH Chicken Curry Masala,$1.99
Club House Paprika,$8.99
No Name Poppy Seeds,$3.99
Sempio Red Pepper Powder Fine Grind,$7.49
McCormicks Original Seasoning,$4.49
No Name Dehydrated Minced Onion,$3.99
President's Choice Bay Leaves,$6.49
McCormicks Chipotle Chili Pepper,$8.99
President's Choice Eggnog Spice Blend,$6.49
President's Choice Poultry Rub Seasoning,$5.99
President's Choice Sriracha Seasoning,$6.49
No Name Dehydrated Chopped Onion,$6.49
President's Choice Cumin Seeds,$6.49
Club House Paprika,$10.99
"Club House Sage, Ground",$6.49
Watkins Organic Garlic Salt Grinder,$8.99
Club House Ground Black Pepper,$8.29
President's Choice Cinnamon Sugar,$6.49
Club House Organic Rosemary Leaves,$3.79
President's Choice Poultry Seasoning,$6.49
"Club House One Step Seasoning, Original, Salt Free",$8.99
President's Choice Everything Bagel Seasoning,$6.49
"Club House Signature Blends, Lemon and Herbs",$8.99
McCormicks Ground Coriander Seed,$6.99
McCormicks Smoked Paprika,$8.99
PC Black Label Spice Blend Spanish Paella,$4.79
Windsor Himalayan Pink Salt Grinder,$4.49
No Name Onion Salt,$3.99
Cool Runnings Monosodium Glutamate,$4.29
Cool Runnings Jamaican Curry Powder,$3.99
Joy's Kitchen Pepper Powder Jamaican Scotch Bonnet Hot,$5.39
Suraj Green Cardamom Seed,$2.49
Suraj Ground Turmeric,$3.29
Cool Runnings Ox Tail Seasoning,$4.29
Quality Himalayan Pink Salt,$2.79
Cool Runnings Seasoning Salt,$3.99
4C Seasoned Crumbs,$7.99
Accent Spice Flavour Enhancer,$3.99
A Spice Affair Curry Powder,$9.99
Outdoor Flavours Outdoor Flavours Seasoned Coating Mix Lemon Pepper Dill,$8.49
Dion Black Peppercorns,$6.49
Dion Smoked Hot Spanish Paprika,$4.79
A Spice Affair Smoked Paprika,$9.99
Dion Salad Seasoning,$3.79
A Spice Affair Salmon Seasoning,$9.99
Dion Herbes De Provence,$3.29
"4C Bread Crumbs Plain Crumbs, Gluten Free",$7.99
"Dion Steak Spices, No Salt",$5.99
Kanel A Sprinkle Of Sunshine,$12.99
Aurora Gluten-Free Bread Crumbs,$5.49
Montana's Seasoning Steak,$7.99
"Windsor Kosher Salt, Coarse",$6.99
Watkins Ground Cinnamon Organic,$7.99
Kelloggs Corn Flake Crumbs,$5.99
Dion Italian Seasoning,$3.99
Dion Nutmeg,$5.49
"Mrs Dash Seasoning Blend, Original Blend",$9.99
"Derlea Garlic, Minced",$8.99
"Derlea Garlic, Puree",$2.99
Dion Sesame Seeds,$3.29
"Fish Crisp Seasoned Coating Mix, Original",$5.49
The Keg Steak Seasoning,$5.49
Ching's Schezwan Fried Rice Masala Mild Seasoning Mix,$1.79
Dion Salad Seasoning,$5.49
Heiwa Roasted Sesame Seeds,$5.39
McCormicks Dill Weed,$8.99
President's Choice Caraway Seeds,$6.49
McCormicks Ground Cinnamon,$7.99
President's Choice Chinese Five Spice,$6.49
"Club House Blends, Roasted Garlic & Pepper",$13.79
Club House La Grille Flavoured Seasoning Smoky Ranchero,$8.99
Franks Original Seasoning Blend,$6.99
Weber Flavour Bomb Seasoning,$6.99
Club House Organic Groud Cumin,$3.79
No Name Freeze-Dried Chives,$3.99
President's Choice Crushed Red Pepper,$6.49
No Name Ground White Pepper,$3.99
President's Choice Tellicherry Black Peppercorns,$9.99
No Name Ground Mustard,$3.99
Tamam Orange Blossom Water,$2.49
PC Black Label Smoked Paprika Spice,$6.99
Windsor Grinder Refill Himalayan Pink Salt Extra Coarse,$6.99
The Keg Chicken & Ribs Seasoning,$9.99
President's Choice Sea Salt & Black Peppercorns,$5.99
PC Black Label Smoky Bourbon Rub Spice Blend,$6.99
"Club House La Grille, Smouldering Smoked Applewood Seasoning",$8.99
President's Choice Fennel Seeds,$6.49
President's Choice Ground Cinnamon,$6.49
McCormicks Thyme Leaves,$6.99
"Club House Blends, Garlic Plus",$12.99
President's Choice Himalayan Pink Rock Salts,$9.49
Windsor Sea Salt Grinder,$3.99
Club House Onion Powder,$8.99
PC Black Label Turkish Spice Blend,$5.99
"Club House One Step Seasoning, Greek",$8.99
Club House Garlic Powder,$8.99
Mrs Dash Seasoning Blend Garlic & Herb,$4.99
Watkins Organic Garlic Pepper Grinder,$8.99
President's Choice Ground Coriander,$6.49
President's Choice Marjoram Leaves,$6.49
PC Black Label Shichimi Togarashi 7-Spice Japanese Seasoning Blend,$6.99
President's Choice Rosemary Leaves,$6.49
Litehouse Garlic,$6.49
Club House Onion Salt,$7.99
Club House Mustard Seed,$8.99
"Club House Black Pepper, Whole",$8.99
Club House La Grille All Purpose Seasoning Garlic & Crushed Herbs With Sea Salt & Pepper,$8.99
Kalas Iodized Sea Salt,$2.49
"Cool Runnings Garlic, Pepper & Herbs",$4.79
Club House Salads'n Dips Seasoning Mix Spicy Guacamole,$1.69
Tamam Lebanese Zaatar,$8.49
Cool Runnings All Purpose Seasoning,$3.99
"Pastene Bread Crumbs, Flavoured",$4.79
Kanel Holy Grail Garlic Salt,$7.99
Tamam Ground Sumac,$9.49
Club House English Style Fish & Chips Batter Mix,$4.79
PC Black Label Mulling Spices,$6.99
"Club House Japanese Style Batter Mix, Tempura",$4.79
Dion Ground Allspice,$3.29
Windsor Half Salt,$5.99
Dion Curry Powder,$2.49
"La Baleine Sea Salt, Fine Crystal",$6.99
President's Choice Memories Of Sicilia Coarse Sea Salts,$5.99
Dion Saffron,$3.79
Lior Kosher Salt,$5.99
Dion Poultry Seasoning,$3.29
"A Spice Affair Butter Chicken Seasoning, 100G",$9.99
Ching's Hakka Noodles Chowmein Masala Mild  Seasoning Mix,$1.79
Lawrys Seasoned Salt,$5.79
Dion Himalayan Pink Salt,$7.99
President's Choice Mild Curry Powder,$6.49
Kanel Summer Black Truffle Salt,$17.49
Kikkoman Whole Wheat Panko Bread Crumbs,$4.49
Chief Hot and Spicy Duck Goat Curry,$1.89
Dion Ground Sage,$3.29
Dion Ground Turmeric,$3.29
Club House Organic Cayenne Pepper,$3.79
"Club House La Grille, Vegetable Seasoning",$8.99
Club House La Grille All Purpose Seasoning Smoked Paprika & Onion With Garlic & Pepper,$8.99
Club House Pickling Spice (Pouch),$6.49
President's Choice Dill Weed,$6.49
No Name Chili Powder,$10.99
President's Choice Ground Savory,$6.49
